Source,Target,Type,Weight,estimate
115,333,Undirected,0.5591894314263653,0.5591894314263653
115,332,Undirected,0.5329387318111328,0.5329387318111328
115,342,Undirected,0.5393775826601521,0.5393775826601521
116,345,Undirected,0.7524578518489244,0.7524578518489244
117,333,Undirected,0.5608333312400239,-0.5608333312400239
118,329,Undirected,0.5358916790915247,-0.5358916790915247
118,338,Undirected,0.6581483359184884,-0.6581483359184884
118,345,Undirected,0.7002186247515697,0.7002186247515697
118,352,Undirected,0.6754680289689751,-0.6754680289689751
118,326,Undirected,0.5741907140284969,-0.5741907140284969
119,335,Undirected,0.6239193988935487,-0.6239193988935487
120,346,Undirected,0.5259176374663259,-0.5259176374663259
120,352,Undirected,0.6688537588524021,-0.6688537588524021
121,328,Undirected,0.5353721988746474,-0.5353721988746474
121,329,Undirected,0.6590595471990279,-0.6590595471990279
121,330,Undirected,0.5808454886997874,-0.5808454886997874
121,338,Undirected,0.5487110305566884,-0.5487110305566884
121,333,Undirected,0.6057042204708638,-0.6057042204708638
122,327,Undirected,0.5594078277071138,-0.5594078277071138
123,341,Undirected,0.570418171206924,0.570418171206924
123,352,Undirected,0.5256577325211642,-0.5256577325211642
124,364,Undirected,0.8218224606706397,0.8218224606706397
125,337,Undirected,0.5322903674228887,-0.5322903674228887
126,329,Undirected,0.6743341452464123,0.6743341452464123
126,330,Undirected,0.5671783128532278,0.5671783128532278
126,338,Undirected,0.718193276644553,0.718193276644553
126,333,Undirected,0.6683533546012114,0.6683533546012114
127,362,Undirected,0.5345849802371542,-0.5345849802371542
127,359,Undirected,0.7075098814229249,-0.7075098814229249
127,345,Undirected,0.6535714285714285,-0.6535714285714285
127,340,Undirected,0.5375494071146245,-0.5375494071146245
128,347,Undirected,0.5306324110671937,-0.5306324110671937
128,359,Undirected,0.7460474308300395,-0.7460474308300395
128,340,Undirected,0.7687747035573124,-0.7687747035573124
128,332,Undirected,0.5533596837944664,-0.5533596837944664
129,333,Undirected,0.6571146245059288,-0.6571146245059288
130,346,Undirected,0.7559288537549407,-0.7559288537549407
130,338,Undirected,0.5592885375494071,-0.5592885375494071
131,361,Undirected,0.6294466403162055,0.6294466403162055
131,359,Undirected,0.7490118577075099,-0.7490118577075099
131,345,Undirected,0.6428571428571428,-0.6428571428571428
131,340,Undirected,0.6264822134387351,-0.6264822134387351
132,361,Undirected,0.5938735177865613,0.5938735177865613
132,336,Undirected,0.5286561264822134,-0.5286561264822134
132,359,Undirected,0.741106719367589,-0.741106719367589
132,340,Undirected,0.5978260869565217,-0.5978260869565217
133,359,Undirected,0.6106719367588933,-0.6106719367588933
133,364,Undirected,0.8666666666666667,-0.8666666666666667
134,336,Undirected,0.6324110671936759,-0.6324110671936759
134,347,Undirected,0.5533596837944664,-0.5533596837944664
134,359,Undirected,0.6096837944664032,-0.6096837944664032
134,341,Undirected,0.5719932241671374,-0.5719932241671374
134,340,Undirected,0.7272727272727273,-0.7272727272727273
134,332,Undirected,0.7035573122529645,-0.7035573122529645
135,361,Undirected,0.5790513833992095,0.5790513833992095
135,359,Undirected,0.5770750988142292,-0.5770750988142292
135,364,Undirected,0.8333333333333334,-0.8333333333333334
136,361,Undirected,0.6561264822134387,0.6561264822134387
137,359,Undirected,0.6423477748876241,-0.6423477748876241
