label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
ASV_00121	-0.1329313512168321	-0.04113773220747783	species	NA	NA	NA	NA	NA	NA	NA
ASV_00122	-0.30225552706860337	0.019158410294742568	species	NA	NA	NA	NA	NA	NA	NA
ASV_00123	0.35094330011662855	0.021165147560316237	species	NA	NA	NA	NA	NA	NA	NA
ASV_00124	-0.5333656708478942	0.06527019002716077	species	NA	NA	NA	NA	NA	NA	NA
ASV_00125	0.20668442086643657	0.01085837349506082	species	NA	NA	NA	NA	NA	NA	NA
ASV_00126	0.3745405083430746	0.027028660043615857	species	NA	NA	NA	NA	NA	NA	NA
ASV_00128	0.31029237996673575	-0.02772162279851942	species	NA	NA	NA	NA	NA	NA	NA
ASV_00129	0.3148866357281687	-0.009775005313195854	species	NA	NA	NA	NA	NA	NA	NA
ASV_00130	0.24077348655730968	0.013929199378596295	species	NA	NA	NA	NA	NA	NA	NA
ASV_00131	-0.6681143365112089	-0.08084142069115977	species	NA	NA	NA	NA	NA	NA	NA
ASV_00132	0.12738061283654797	-0.03997242925162286	species	NA	NA	NA	NA	NA	NA	NA
ASV_00133	0.1232378341796828	0.03541319695898047	species	NA	NA	NA	NA	NA	NA	NA
ASV_00134	0.21865489412358144	-0.005944639076153686	species	NA	NA	NA	NA	NA	NA	NA
ASV_00136	0.34413822263875826	0.005099641011220253	species	NA	NA	NA	NA	NA	NA	NA
ASV_00138	0.2662451174509931	-0.1077376171809926	species	NA	NA	NA	NA	NA	NA	NA
ASV_00140	-0.002586995526408227	-0.014749413860483595	species	NA	NA	NA	NA	NA	NA	NA
ASV_00141	0.32049328795752563	-0.003960854695930028	species	NA	NA	NA	NA	NA	NA	NA
ASV_00142	0.11739172194446532	-0.8058163650255497	species	NA	NA	NA	NA	NA	NA	NA
ASV_00143	-0.026527125981973664	-0.004370127018046461	species	NA	NA	NA	NA	NA	NA	NA
ASV_00145	0.24407091776968476	-0.026759860707045325	species	NA	NA	NA	NA	NA	NA	NA
ASV_00146	0.18495607442570677	-0.03082293645146728	species	NA	NA	NA	NA	NA	NA	NA
ASV_00147	-0.24366750082312533	-0.06690179436872074	species	NA	NA	NA	NA	NA	NA	NA
ASV_00149	0.20635344086350385	0.04494440523388188	species	NA	NA	NA	NA	NA	NA	NA
ASV_00150	0.26805501839934415	0.06577912932333084	species	NA	NA	NA	NA	NA	NA	NA
ASV_00151	-0.14867930281101374	-0.006557233130144129	species	NA	NA	NA	NA	NA	NA	NA
ASV_00153	0.254251830815933	0.02822038043164775	species	NA	NA	NA	NA	NA	NA	NA
ASV_00154	-0.24175962180206323	-0.020029442984498852	species	NA	NA	NA	NA	NA	NA	NA
ASV_00155	0.30348607563425134	0.008412297789324232	species	NA	NA	NA	NA	NA	NA	NA
ASV_00156	0.2124763966759046	-0.01073590482162469	species	NA	NA	NA	NA	NA	NA	NA
