contrast	asv_id	estimate	pval	group	site	commonid	test_type	model	sampling_time	Combo	baseline	baseMean	padj	log2FoldChange_MMSE	pair1	pair2	hold	variable	p_fdr
Tektite - LB_seagrass_all	ASV_00400	12.515169787910274	4.036611035307433e-4	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00400	11.73096159654673	6.146882354991142e-4	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00495	19.35675130072749	1.0843519596835778e-5	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00495	17.881314756627177	2.3511826544081834e-5	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_01134	26.215236395624487	3.054033525958211e-7	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_01134	26.478189086315354	2.6653050699740763e-7	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite_dawn - LB_seagrass_all	ASV_00002	14.656685780943487	1.2897633220160405e-4	low_seagrass	Tektite	seagrass	rademu	auto_fit	dawn	Tektite_d	LB_seagrass_all				Tektite_dawn	LB_seagrass_all			
Yawzi_dawn - LB_seagrass_all	ASV_00002	14.602405651815051	1.327449783933823e-4	low_seagrass	Yawzi	seagrass	rademu	auto_fit	dawn	Yawzi_d	LB_seagrass_all				Yawzi_dawn	LB_seagrass_all			
Tektite_peak_photo - LB_seagrass_all	ASV_00002	14.713556517301724	1.25143291440859e-4	low_seagrass	Tektite	seagrass	rademu	auto_fit	peak_photo	Tektite_p	LB_seagrass_all				Tektite_peak_photo	LB_seagrass_all			
Yawzi_peak_photo - LB_seagrass_all	ASV_00002	15.048242091602965	1.0479781750114376e-4	low_seagrass	Yawzi	seagrass	rademu	auto_fit	peak_photo	Yawzi_p	LB_seagrass_all				Yawzi_peak_photo	LB_seagrass_all			
Tektite_dawn - LB_seagrass_all	ASV_00003	13.340764270796035	2.5969848547273573e-4	high_seagrass	Tektite	seagrass	rademu	auto_fit	dawn	Tektite_d	LB_seagrass_all				Tektite_dawn	LB_seagrass_all			
