set_label	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site	grouping
Yawzi.dawn	CINAR_BC_76	0.2648878842112077	Metab_222	seawater	20210123	dawn	Day2	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_45	0.14745791657706928	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_69	0.31195909846278397	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_71	0.19951275337637253	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_50	0.15194403387358016	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_67	0.3352893449803098	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_118	0.2624580434794516	Metab_323	seawater	20210126	peak_photo	Day5	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_113	0.24593211297075762	Metab_308	seawater	20210126	peak_photo	Day5	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_96	0.14957914465060512	Metab_285	seawater	20210125	peak_photo	Day4	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_97	0.28195458674372964	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_91	0.13251291768529083	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_114	0.1499651551088957	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi	site.time
Yawzi.peak_photo	CINAR_BC_46	0.2596765572669687	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi	site.time
Tektite.dawn	CINAR_BC_77	0.14119244852946689	Metab_234	seawater	20210123	dawn	Day2	Tektite	site.time
Tektite.dawn	CINAR_BC_101	0.1291356879754445	Metab_312	seawater	20210126	dawn	Day5	Tektite	site.time
